སྨན་མིང་།	རང་བཞིན།	ཕན་ནུས།
ཀོ་ལ་བཅུ་དགུ།	བསིལ་དྲོད་སྙོམས་པ། བཟི་མེད།	ཀོ་ལ་བཅུ་དགུ་ཆུ་བསྐོལ་ཚ་འཇམ་དབུལ། །མཆེར་ནད་ཚ་གྲང་མེད་པ་སེལ་བའི་མཆོག །མི་ཡི་དབང་བོ་རྣམ་རྒྱལ་གྲགས་བཟང་ལུགས། །
ཀོ་ཋ་བཅུ་གསུམ།	བསིལ་དྲོད་སྙོམས་པ། བཟི་མེད།	སྦྱར་དུག་སེལ།
དཀར་པོ་དྲུག་སྦྱོར།	དྲོ་བ། བཟི་མེད།	དཀར་པོ་དྲུག་གི་སྦྱོར་བ་འདིས། །སྙིགས་མ་མ་ཞུའི་ཕོ་ནད་དང་། །མིག་ལ་སྐྱ་རིབ་བྱུང་བ་དང༌། །མེ་དྲོད་ཉམས་དང་སྨུག་པོ་ལ། །ཐེངས་པས་ཆོག་པ་སྨན་མཆོག་གོ།
དཀར་རུ་མཉམ་བསྲེས། (དཀར་པོ་དྲུག་པ། ཁ་རུ་རྟ་དྲུག་པ།)	དྲོ་བ། བཟི་མེད།	དཀར་རུ་མཉམ་བསྲེས་ལུས་འཁྱགས་ཕོ་བ་སྦོ། །ཁ་ཟས་རྗེས་ལ་ཕོ་བར་ན་ཟུག་ལངས། །དང་ག་མི་བདེ་སྒྲེག་སྐྱུགས་ཡང་ཡང་བྱེད། །ཕོ་ནད་བད་ཀན་སྨུག་པོ་གླང་ཐབས་འཇོམས། །
དཀར་བོ་བདུན་པ།	བསིལ་དྲོད་སྙོམས་པ། བཟི་མེད།	གློ་ནད་ཀུན་པོ་སེལ།
དཀར་བོ་ཆིག་ཐུབ་སྦྱོར་བ།	བསིལ་དྲོད་སྙོམས་པ། བཟི་མེད།	ཀླད་གཟེར་སྲིད་ནད་སེལ།
སྐད་སྨན་འཛམ་གླིང་འབྲུག་སྒྲ།	བསིལ་དྲོད་སྙོམས་པ། བཟི་མེད།	སྐད་འགག་སེལ།
སྐད་འགག་གི་སྤྱི་སྨན་ཁ་འཛིན་ཅན།	བསིལ་དྲོད་སྙོམས་པ། བཟི་མེད།	གྲེ་བ་སྐད་འགག་ནད་སེལ་སྤྱི་སྨན་ཡིན། །
སྐྱ་ཁྲ་སུམ་འགྲོལ།	དྲོ་བ། བཟི་མེད།	མ་ཞུ་དུག་ཐབས་ནད་ལ་ཐེངས་གསོས་ཡིན། །
སྐྱ་རྦབ་ཀྱི་བྱུག་སྨན་ཟབ་ཁྱད་ཅན།	བསིལ་དྲོད་སྙོམས་པ། བཟི་མེད།	རེངས་འཁུམས་ཀུན་དང་ཁྱད་པར་སྐྱ་རྦབ་དང་། །འོར་ནད་མ་ལུས་འཇོམས་པའི་སྨན་མཆོག་ཡིན། །
ཀྱི་ལྕེ་ལྔ་བ།	བསིལ་བ། བཟི་མེད།	མེ་དབལ་སེལ།
ཀྱི་ལྕེ་དྲུག་པ།	བསིལ་བ། བཟི་མེད།	གཉན་འགྲམས་ཚ་གྲང་རིགས་རྣམས་འཇོམས་པར་བྱེད། །
ཀྱི་ལྕེ་བདུན་ཐང༌།	བསིལ་བ། བཟི་མེད།	ནུ་མ་སྐྲངས་པ་སེལ།
ཀྱི་ལྕེ་བཅུ་བ།	བསིལ་བ། བཟི་མེད།	ཀླུ་གཉན་ས་བདག་དུག་ནད་འཇོམས་པའི་མཆོག །
ཀྱི་ལྕེ་བཅུ་པ།	ཅུང་བསིལ། བཟི་མེད།	རྨ་གསར་རྙིང་ཀུན་ཀྱི་རྨ་རྩི་བྱེད།
ཀྲི་ཀ་ཧན་བཅུ་གཅིག (འཕྲོག་འདྲེན་བཅུ་གཅིག)	དྲོ་བ། བཟི་མེད།	ཕྲུ་གུའི་མཆིན་ནད་གང་བབས་སེལ་བ་ཡིན། །
ཀྲི་ཀ་ཧན་བཅུ་གསུམ།	བསིལ་བ། བཟི་མེད།	ཕྲུ་གུའི་མཆིན་ནད་ཚ་བབས་སེལ་བ་ཡིན། །
ཀླུ་བདུད་བཅོ་བརྒྱད། (གུ་གུལབཅོ་བརྒྱད།)	ཅུང་བསིལ། བཟི་ཆེ་བ།	ཀླུ་བདུད་བཅོ་བརྒྱད་ཆུ་བསྐོལ་ཚན་མོས་དབུལ། །མཛེ་དང་གཡན་པ་གླང་ཤུ་དྲེག་ནད་དང༌། །ཟ་རྐོང་ཕོལ་འབྲས་གཉན་སྲིན་ཡ་མ་སོགས། །ཆུ་སེར་ཚ་བའི་ནད་རིགས་ཡིན་ནོ་ཅོག །ཁྱད་པར་ཐིག་ནག་འབམ་དང་གྲུམ་བུ་འཛོམས། །
སྐྱུར་རྩབས་ལྔ་བ།	དྲོ་བ། བཟི་མེད།	སྐོམ་དད་ནད་རིགས་མཐའ་དག་སེལ།
སྐྱུ་རུའི་ཆིག་ཐང་།	བསིལ་བ། བཟི་མེད།	ཁྲག་མཁྲིས་ཚ་བའི་གཞི། ཁྲག་ཤེད་གཅོག་པ་ཡིན།
སྒྱུ་རུའི་ཆུ་སྨན། (ཀུན་དགའ་གཞོན་ནུ།)	བསིལ་བ། བཟི་མེད།	ཁྲག་མཁྲིས་ལས་གྱུར་ཚ་ཆུའི་ནད་ལ་ཕན།
སྒྱུ་རུ་སུམ་སྦྱོར།	བསིལ་དྲོད་སྙོམས་པ། བཟི་མེད།	མགོ་བོར་སྐྲ་དཀར་སྐྱེས་པ་ལ། །སྐྱུ་རུ་ཏིལ་ནག་སྦྲང་རྩི་དང་། །མར་སྦྱར་ཡུན་རིང་བསྟེན་ན་ཕན། །
སྒྱུ་རུ་བཞི་སྦྱོར།	བསིལ་དྲོད་སྙོམས་པ། བཟི་མེད།	སྐོམ་དད་སེལ།
སྒྱུ་རུ་ལྔ་ཐང༌།	བསིལ་བ། བཟི་མེད།	བསྡུས་གྲང་བཏང་བས་སྣ་ཁྲག་འཕྲལ་དུ་གཅོད། །གཞན་ཡང་སྨུག་པོའི་མཚོ་རྡོལ་གློ་རྩར་ཤོར། །བུད་མེད་ཟླ་མཚན་རྒྱུན་དུ་འབྱམས་ལ་ཕན། །
སྐྱུ་རུ་དྲུག་ཐང་། (ཨ་བྷི་དྲུག་ཐང་།)	ཅུང་བསིལ། བཟི་མེད།	ཚ་ཆུ་གྲང་ཆུར་འགྱུར་ཞིང་ཚ་རླབས་གཅོག །
སྒྱུ་རུ་བདུན་པ། (འབོལ་སྨན་བདུན་པ།)	ཅུང་བསིལ། བཟི་མེད།	ཚ་ཆུའི་ནད་དང་ལྡན་ཆུའི་ནད་ལ་ཕན། །
སྒྱུ་རུ་བརྒྱུད་པ།	བསིལ་དྲོད་སྙོམས་པ། བཟི་མེད།	ཚ་གྲང་དམུ་ཆུའི་ནད་དཔུང་འཇོམས་པའི་མཆོག།
སྐྱུ་རུ་ལྔ་སྦྱོར།	བསིལ་དྲོད་སྙོམས་པ། བཟི་མེད།	བད་མཁྲིས་སེལ།
སྒྱུ་རུ་ཉེར་ལྔའི་འཕྲུལ་འཁོར།	ཅུང་བསིལ། བཟི་མེད།	སྟོད་གཟེར་ཁྲག་འཁྲུགས་ཚ་བ་སྟོད་རྒྱས་དང་། །སྨུག་པོ་ཁྲག་རྒྱུས་མཆིན་དྲི་རོ་སྟོད་གཟེར། །བྲང་ཚ་ཆུ་སྐྱུར་མཁྲིས་པ་རྒྱུ་བཤལ་དང་། །ཁྲག་རུལ་དུད་ཁུ་སྐྱུག་དང་ཕོ་མཆིན་ན། །རོ་རྒྱབ་ཚིགས་གཟེར་ཁྲག་མཁྲིས་ཕོ་ལྷུང་དང༌། །སྨུག་པོ་རྒྱས་གབ་འཁྲུགས་དང་གནས་ཞེན་དང་། །བྱེར་འཐབ་རྙིང་སོགས་འདུས་ནད་སྨུག་པོ་སེལ། །
སྐྱུག་གཅོད་སེ་འབྲུ་གཉིས་པའི་རིལ་བུ།	དྲོ་བ། བཟི་མེད།	མ་ཞུ་སྐྱུག་པ་སེལ་བར་བྱེད། །
སྐྱུ་རུ་ཉེར་ལྔ།	ཅུང་བསིལ། བཟི་མེད།	ཀ་ར་སྦྱར་བའི་སྐྱུ་རུ་ཉེར་ལྔ་འདི། །ཁྲག་ཤེད་མ་ལུས་གཅོག་པའི་སྤྱི་སྨན་ཡིན། །གཏར་དགོས་གཏེར་མི་རུང་ལ་སྨན་འདི་བསྟེན། །སྟོད་གཟེར་ཁྲག་འཁྲུགས་ཚ་བ་སྟོད་རྒྱུས་དང་། །སྨུག་པོ་ཁྲག་རྒྱུས་མཆིན་དྲི་རོ་སྟོད་གཟེར། །བྲང་ཚ་ཆུ་སྐྱུར་མཁྲིས་པ་རྒྱུ་བཤུལ་དང་། །ཁྲག་རུལ་དུད་ཁུ་སྐྱུགས་དང་ཕོ་མཆིན་ན། །རོ་རྒྱབ་ཚིགས་གཟེར་ཁྲག་མཁྲིས་ཕོ་ལྷུངས་དང་། །སྨུག་པོ་རྒྱས་གབ་འཁྲུགས་དང་གནས་ཞེན་དང་། བྱེར་འཐབ་རྙིང་སོགས་འདུས་ནད་སྨུག་པོའི་རིགས། །སྨུག་པོ་གྱེན་ཐུར་རྡོར་དང་སྨུག་ཚད་དང་། །འགྱིངས་འཐབས་སྨུག་སྐྲུན་བད་མཁྲིས་རླུང་སོགས་ལ། །སྐྱུ་རུའི་འཕྲུལ་འཁོར་རིགས་པས་བསྐོར་ཤེས་ན། །ནད་དོ་ཅོག་གི་གཉེན་པོ་ཨ་ཙར་ལུགས། །
སྐྱེར་ཤུན་བརྒྱུད་པ།	བསིལ་ཆེ། བཟི་མེད།	ས་རའི་མྱོང་གྲུབ་སྐྱེར་ཤུན་བརྒྱད་པ་འདིས། །ས་བོན་ཁྲག་དང་བསྡོངས་ཏེ་འཛག་པ་དང༌། །ཆུ་བཙགས་རྗེས་ལ་ཆུ་ཁ་ཙ་ཚག་བྱེད། །མདོར་ན་ཁྲག་མཁྲིས་ལས་གྱུར་ཚ་འཛག་ཀུན། །སེལ་བ་སྨན་མཆོག་འདི་རང་ལྷག་པར་མཐོང་། །
སྐྱེར་ཁྱུང་།	བསིལ་ཆེ། བཟི་ཅུང་ཡོད།	སྐྱེར་ཁྱུང་གྲང་བའི་ཁམས་ཀྱི་ཚ་འཛག་དང་། །ཁུ་བ་དཀར་དམར་འཛག་དུས་ཆུ་ཁ་ཚ། །གཅིན་པ་བཏང་རྗེས་ཚ་ཤར་ཆེ་བ་དང་། །ཁུ་ཟད་ཁྲག་འཛག་གྲང་བའི་ནད་ལ་ཕན། །
སྐྱེར་བའི་ཁཎྜ།	བསིལ་བ། བཟི་མེད།	སྐྱེར་བའི་ཁཎྜ་ཆུ་ཚན་སྦྱར་བླུགས་པས། །མིག་ནད་ཚ་འགྲིབ་ཀུན་ལ་མཆོག་ཏུ་ཤིས། །ཁྱད་པར་མིག་འགྲིབ་རབ་རིབ་སེལ་བ་དང་། །རྒྱུན་དུ་བརྟེན་ན་དབང་པོ་གསལ་བར་འགྱུར། །
སྐྱེར་ཤུན་གཉིས་ཐང་།	བསིལ་བ། བཟི་མེད།	ཕན་ནུས༔ཡང་ཡང་བཏང་བས་སྣ་ཁྲག་འཛག་པ་གཅོད།
སྐྲངས་འཇོམས་བདེ་བྱེད།	བསིལ་དྲོད་སྙོམས་པ། བཟི་མེད།	བསྐུ་མཉེ་བྱས་པས་སྐྲངས་པ་འཕྲལ་དུ་འཇོམས།
སྐྲན་ནད་སྤྱི་སྨན།	བསིལ་བ། བཟི་མེད།	ཚྭ་བསྲེགས་མཚུར་གཉིས་ཅོང་ཞི་རྒོད་བཏུལ་དང༌། །འགྲོལ་ཐལ་བྱང་བུལ་ཡ་བཀླུ་ར་དང་། །སྟར་བུ་རུ་རྟ་ཟེ་ཚྭ་ཨ་རུ་ར། །གོང་མ་རིལ་བསྐྱེད་ཚད་ལྡན་སྦྱར་བ་འདི། །ཆུ་ཚན་དབུལ་བཏང་སྐྲུན་རིགས་ཀུན་ལ་འགྲོ། །
བཀྲ་ཤིས་རྣམ་རྒྱལ།	ཅུང་བསིལ། བཟི་མེད།	རླུང་ཁྲག་རོ་སྟོད་དུ་འཕྱུར་བས་ལུས་ཁམས་ལྕི་ཞིང་། །ཁོག་པ་སྦོ་འཁྲོག་བྱེད་པ་དང་། རྔུལ་ཆུ་ཐོན་པ། དྲན་པ་མི་གསལ་བ། དོན་མེད་ཀྱི་ཅལ་ཅོལ་སྣ་ཚོགས་སྨྲ་བ། ཚ་གྲང་འཐབ་ནས་མགོ་དང་ཡན་ལག མཁལ་རྐེད་ན་བ་སོགས་ལ་ཕན།<12>
ཁ་རུ་ཚྭའི་ཆིག་ཐང་།	དྲོ་བ། བཟི་མེད།	ཁ་རུ་ཚྭའི་ཆིག་ཐང་ཕོ་ལོག་འཇོམས།
ཁ་རུ་ཚ་དྲུག་ཐང་།	དྲོ་བ། བཟི་མེད།	ཁ་ཟས་མི་འཇུ་སྐྱུག་པ་སེལ།
ཁུར་མོང་ལྔ་བ།	བསིལ་བ། བཟི་མེད།	ཡན་ལག་གི་རྨ་ལ་བསྔགས།
མཁན་པ་ལྔ་ལུམས།	བསིལ་བ། བཟི་མེད།	རྩ་དཀར་སོགས་འགྲམས་པ་དང་། རྩ་ཐོག་སྐྲངས་པ། རྩ་རེངས་ནས་མི་ཁུག་པ་སོགས་ལ་ཕན།
མཁའ་འགྲོ་བཅུ་སྦྱོར།	དྲོ་བ། བཟི་མེད།	བོང་ང་ནས་ཙམ་གསང་སྨན་ཞལ་ཤེས་ཡིན། །རྒོད་གཡག་ཁྲག་འཕུལ་མགུལ་འགགས་འཇོམས་པའི་མཆོག །
མཁའ་འགྲོའི་མེ་མདའ།	བསིལ་དྲོད་སྙོམས་པ། བཟི་ཆེ།	གག་ལྷོག་གཟེར་སོགས་གཉན་གྱི་རིགས། །མ་ལུས་འཇོམས་པར་བྱེད་པ་ཐེ་ཚོམ་མེད། །
ཅུང་ལྔ། (གླ་རྩི་ལྔ་པ།)	བསིལ་དྲོད་སྙོམས་པ། བཟི་ཆེ།	སྲོད་དུས་ལྔ་བདུན་དགུ་རྣམས་རིམ་པས་བཏང་། །ཕོ་ལོག་སྲིན་ནད་གཉན་གཟེར་གག་ལྷོག་དང་། །ཁྱད་པར་ཆུ་སེར་མཛེ་ནད་འཇོམས་པའི་མཆོག །
ཁྱུང་ལྔ་མཉམ་སྦྱོར།	བསིལ་བ། བཟི་ཆེ།	སྙིང་མི་བདེ་སོགས་སྨྱོ་བྱེད་ནད་ལ་བསྔགས། །
ཁྱུང་ལྔ་མདོག་བཞི། (མཉམ་སྦྱོར་ལྔ་པ།)	བསིལ་དྲོད་སྙོམས་པ། བཟི་ཆེ།	ཁྱུང་ལྔ་མདོག་བཞི་ཚད་ལྡན་སྦྱོར་བ་འདི། །ཆུ་སེར་ནག་པོ་མཛེ་ནད་དང་། །གག་ལྷོག་སྲིན་གཟེར་ཕོ་ལོག་རིམས། །ཡ་མ་གླང་ཐབས་དམུ་འོར་འབྲས། །མ་ཞུ་སྐྱ་རྦབ་གྲང་ནད་སོགས། །སྤྱི་འཇོམས་ཀུན་གྱི་རྒྱལ་པོ་ཡིན། །
ཁྱུང་ལྔ་མཆུ་སྡེར།	ཅུང་བསིལ། བཟི་ཡོད།<14>	རྩ་དཀར་གྲང་ཤས་ཆེ་བའི་རིགས་ཀུན་དང་། ཡན་ལག་རྩ་དང་ཤ་པགས་རུས་ཚིགས་ལ། །རླུང་མཁྲིས་ཆུ་སེར་ཞུགས་པའི་འཁྱུག་རེངས་དང་། །ཁྱད་པར་རུས་ལ་རླུང་ཞུགས་ལྷང་ལྷང་གཟེར། །ཆུ་སེར་རླུང་འདྲེས་རྩར་ཞུགས་ཀུན་ལ་མཆོག །
ཁྱུང་དྲུག	བསིལ་བ། བཟི་ཆེ།	ཆུ་སེར་པགས་ནད་སེལ།
ཁྱུང་སྔོན་དགུ་བ།	བསིལ་བ། བཟི་ཆེ།	རིམས་འཁྲུགས་གཉན་ཚད་སྤྱི་དང་ཁྱད་པར་དུ། །གློ་ཆམ་གྲེ་བར་བབས་པའི་བདུད་རྩི་ཡིན། །
ཁྱུང་རྒོད་བཅུ་བ།	བསིལ་བ། བཟི་ཡོད།	དྲེག་དང་གྲུམ་བུ་དཀར་ནག་དང་། །གག་ལྷོག་མཛེ་ནད་འཇོམས་པར་བྱེད། །
ཁྱུང་བསིལ་མཉམ་སྦྱོར་བཅུ་བ།	བསིལ་ཆེ། བཟི་ཡོད།	ཆམ་པ་སྲིན་ནད་ཚད་རྙིང་རུས་ཞེན་སེལ། །<15>
ཁྱུང་ཆེན་བཅུ་བདུན།	བསིལ་དྲོད་སྙོམས་པ། བཟི་འབྲིང་།	མཁལ་མའི་མེ་དྲོད་ཉམས་ནས་ས་བོན་འཛགས་པ་དང་། གཅིན་པར་ཁྲག་འདྲེས་ཏེ་ཐོན་པ། གཅིན་ལམ་གཉན་ཚད་གླང་ཐབས་གཅིན་འགག་གག་ལྷོག་སོགས་ལ་ཕན།
ཁྱུང་ཆེན་ཉེར་ལྔ།	བསིལ་བ། བཟི་ཡོད།	ནད་རིགས་བཞི་བརྒྱ་རྩ་བཞི་དང་། །གདོན་རིགས་སུམ་བརྒྱ་དྲུག་ཅུ་དང་། །ཁྱད་པར་མཛེ་ནད་གཟའ་ཀླུའི་གདོན། །གག་ལྷོག་གཟེར་གསུམ་གཉན་ཡ་མ། །ཀུན་ལ་སླེབས་ཆོག་ཁྱུང་ཆེན་ཡིན། །
ཁྲག་བཤིག་རྡོ་རྗེ་ཕ་ལམ། (ཁྲག་བཤིག་ཉེར་དྲུག)	ཅུང་བསིལ། བཟི་མེད།	སྨུག་པོ་མཆིན་ཁྲག་རྒྱུས་དང་ཚ་གྲང་འཐབ། །མོ་ནད་སྟོད་གཟེར་ཁྲག་འགྱིངས་ཕོ་བར་འགྲིལ། །ཁྲག་ཚབས་ཁྲག་སྐྲུན་བརྡབས་ཁྲག་ལུས་པ་སོགས། །མ་ལུས་འཇོམས་པ་མྱོང་གྲུབ་ཟབ་མོ་རྒྱ། །
ཁྲག་འཁྲུགས་ཀུན་སེལ།	བསིལ་བ། བཟི་མེད།	གཏེར་དགོས་གཏར་མི་རུང་བའི་བདུད་རྩི་ཡིན། །ཁྱད་པར་གཟེར་གྱི་རིགས་ལ་བསྔགས་པ་ཡིན། །<16>
ཁྲག་ནད་ཀུན་སེལ།	བསིལ་བ། བཟི་མེད།	མཆིན་པ་བསྣད་འགྲམས་མཆིན་ཁྲག་རྒྱས། །མཆིན་ཚད་བད་ཀན་སྨུག་པོ་རྒྱས་པ་སོགས། །ཁྲག་འཁྲུགས་ཁྲག་ནད་མཚོ་རླབས་ལྟར་འཕྱུར་བ། །ཐམས་ཅད་ཞི་བྱེད་འཇམ་པས་ནད་མི་དཀྲུགས། །གཏར་དགོས་ནད་ལ་གཏར་ཁའི་གོ་ཚོད་འགྱུར། །
ཁྲག་སྦྱོར་གསུམ་པ།	སྙོམས་པ། བཟི་མེད།	ལོ་གསུམ་བར་དུ་སྐྱེ་རྒྱུན་ཁེགས་པར་བཤད། །
ཁྲག་གཅོད་ལྔ་བ།	བསིལ་བ། བཟི་མེད།	ཁྲག་ཤོར་གཅོད།
ཁྲག་གཅོད་གུར་གུམ་བརྒྱད་པ།	བསིལ་བ། བཟི་མེད།	གུར་གུམ་བརྒྱད་པ་ཁྲག་གཅོད་ཚད་ལྡན་གྱིས། །སྨུག་པོ་གྱེན་དུ་རྡོལ་ལམ་ཐུར་དུ་རལ། །རྩ་ཆེན་མཚོན་གྱིས་བཅད་དམ་སྣ་ཁྲག་རྡོལ། །ཁྲག་ཤོར་མ་ལུས་གཅོད་པའི་མན་ངག་ཡིན། །
ཁྲག་སྨན་བཅུ་གཅིག	བསིལ་བ། བཟི་མེད།	ཁྲག་སྨན་བཅུ་གཅིག་མགོ་ན་མགོ་ཡུ་འཁོར། །མིག་ནད་རབ་རིབ་བྱེད་དང་རྐང་ལག་སྦྲིད། །སྙིང་ག་གཡུགས་ནས་དངངས་སྐྲག སྐྱེ་བ་དང་། །གཉིད་མི་ཁུག་སོགས་རྣ་བ་འུར་ཞིང་གཟེར། །ཁྱད་པར་ཁྲག་ཤེད་མཐོ་བའི་ནད་ལ་ཕན། །<11>
ཁྲག་སྨན་བཅུ་གཉིས།	བསིལ་ཆེ། བཟི་མེད།	གཉན་ཚད་དང་རིམས་ཚད་སོགས་ཚད་ནད་ཀུན་ལ་བསྔགས། །
ཁྲག་ཤེད་སྙོམས་ལྡན།	བསིལ་དྲོད་སྙོམས་པ། བཟི་མེད།	ཁྲག་ཤེད་སྙོམས་ལྡན་ཞེས་བྱ་འདིས། །ཁྲག་གཟེར་གཅོག་དང་ཁྲག་ཤེད་འཇོམས། །རླུང་ཁྲག་རྒྱུན་སྙོམས་ཁྲག་ནད་ཞི། །ཀུན་ལ་ཕན་པ་མྱོང་བས་ཤེས། །
ཁྲག་སྨན་བདུན་པ།	བསིལ་བ། བཟི་མེད།	ཁྲག་སྨན་བདུན་པས་སྟོད་དང་མགོ་ན་བ། །མིག་དམར་ཁ་ལྕེ་སྐམ་དང་སྐད་འགགས་སོགས། །མདོར་ན་ཁྲགི་ཚད་ནད་ལ་ཕན་པ་ཡིན། །
ཁྲག་ཚད་བཅུ་ཐང་། (ནོར་བདུན་དམར་གསུམ།)	བསིལ་བ། བཟི་མེད།	ཁྲག་ཤེད་གཅོད་དང་ཁྲག་ཚད་སེལ་བར་བྱེད། །<18>
ཁྲག་སྦྱོར་ཉེར་ལྔ།	བསིལ་དྲོད་སྙོམས་པ། བཟི་མེད།	གཟའ་གདོན་སྤྱི་འཇོམས་ཡིན།
ཁྲག་བཤིག་རིན་ཆེན་ཕ་ལམ། (ཁྲག་བཤིག་ཉེར་དྲུག)	ཙུང་བསིལ། བཟི་མེད།	སྨུག་པོ་མཆིན་ཁྲག་རྒྱས་དང་ཚ་གྲང་འཐབ། །མོ་ནད་སྟོད་གཟེར་ཁྲག་འགྱིངས་ཕོ་བར་འགྲིལ། །ཁྲག་ཚབས་ཁྲག་སྐྲུན་བརྡབས་ཁྲག་ལུས་པ་སོགས། །མ་ལུས་འཇོམས་པ་མྱོང་གྲུབ་ཟབ་མོ་རྒྱུ། །
མཁྲིས་ཚད་འཇོམས་པའི་གཡའ་ཀྱི་ཉེར་ལྔ།	བསིལ་བ། བཟི་མེད།	མཁྲིས་པའི་ནད་ཐམས་ཅད་རིགས་སྐད་ཅིག་འཇོམས་པར་གདོན་མི་ཟ། །
མཁྲིས་ཚད་སེལ་བའི་ཙན་དན་བརྒྱད་པ།	བསིལ་བ། བཟི་མེད།	མཁྲིས་པའི་ཚད་འབྲིང་སེལ་བར་བྱེད།
མཁྲིས་སྦྱོར་ལྔ་བ།	བསིལ་བ། བཟི་མེད།	རྨ་རིགས་ཀུན་ལ་འགྲོ། ཁྱད་པར་ཤའུ་བསྐྱེད་པའི་བདུད་ལྕི་ཡིན།<19>
